Sample ID,Pop,Subsp.,collection date,Collection Month,Collection Year,Genotyped?,sequenced?,published?,Sex,Original owner
EINP_W23,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W24,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W25,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W26,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W27,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W28,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W29,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W30,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W31,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W32,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W33,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W34,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W35,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W36,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W37,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W38,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W39,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W40,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W41,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W42,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W43,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W44,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W45,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W46,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W47,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W48,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W49,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W50,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W51,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W52,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W53,EINP,Wood,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_W54,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W55,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W56,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W57,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W58,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W59,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W60,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W61,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W62,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W63,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W64,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W65,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W66,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W67,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W68,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W69,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W70,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W71,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W72,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W73,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W74,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W75,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W76,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W77,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W78,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W79,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W80,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W81,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W82,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W83,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W84,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W85,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W86,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W87,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W88,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W89,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W90,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W91,EINP,Wood,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_W92,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W93,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W94,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W95,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W96,EINP,Wood,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_W97,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W98,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W99,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_W100,EINP,Wood,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P01,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P02,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P03,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P04,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P05,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P06,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P07,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P08,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P09,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P10,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P11,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P12,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P13,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P14,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P15,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P16,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P17,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P18,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P19,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P20,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P21,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P22,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P23,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P24,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P25,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P26,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P27,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P28,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P29,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P30,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P31,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P32,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P33,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P34,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P35,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P36,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P37,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P38,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P39,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P40,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P41,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P42,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P43,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P44,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P45,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P46,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P47,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P48,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P49,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P50,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P51,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P52,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P53,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P54,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P55,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P56,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P57,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P58,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P59,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P60,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P61,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P62,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P63,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P64,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P65,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P66,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P67,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P68,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P69,EINP,Plains,10/22/23,October,2023,yes,,,N/A,Christopher Kyle
EINP_P70,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P71,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P72,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P73,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P74,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P75,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P76,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P77,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P78,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P79,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P80,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P81,EINP,Plains,10/22/23,October,2023,yes,yes,,F,Christopher Kyle
EINP_P82,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P83,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P84,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P85,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P86,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P87,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P88,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P89,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P90,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P91,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P92,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P93,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P94,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_P95,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P96,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P97,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P98,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P99,EINP,Plains,10/22/23,October,2023,yes,yes,,M,Christopher Kyle
EINP_P100,EINP,Plains,10/22/23,October,2023,yes,yes,,N/A,Christopher Kyle
EINP_WB136,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB137,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB138,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB139,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB140,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB141,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB142,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB143,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB144,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB145,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB146,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB147,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB148,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB149,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB150,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB101,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB102,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB103,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB104,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB105,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB106,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB107,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB108,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB109,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB110,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB111,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB112,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB113,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB114,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB115,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB116,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB117,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB118,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB119,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB120,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB121,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB122,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB123,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB124,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB125,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB126,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB127,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB128,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB129,EINP,Plains,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_PB130,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB132,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB133,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB134,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_PB135,EINP,Plains,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB101,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB102,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB103,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB104,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB105,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB106,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB107,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB108,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB109,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB110,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB111,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB112,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB113,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB114,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB115,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB116,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB117,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB118,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB119,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB120,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB121,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB122,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB123,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB124,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB125,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB126,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB127,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB128,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB129,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB130,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB131,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB132,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB133,EINP,Wood,23-Oct-24,October,2024,,,,,Christopher Kyle
EINP_WB134,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
EINP_WB135,EINP,Wood,23-Oct-24,October,2024,yes,,,,Christopher Kyle
WBNP_Oct24_001,WBNP,Wood,30-Oct-24,October ,2024,,,,,Christopher Kyle
WBNP_Oct24_002,WBNP,Wood,30-Oct-24,October ,2024,,,,,Christopher Kyle
WBNP_Oct24_003,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_004,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_005,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_006,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_007,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_008,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_009,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_010,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_011,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_012,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_013,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_014,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_015,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_016,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_017,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_018,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_019,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_020,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_021,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_022,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_023,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_024,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_025,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_026,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_027,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
WBNP_Oct24_028,WBNP,Wood,30-Oct-24,October,2024,,,,,Christopher Kyle
