Contract Year,Sample ID,Population,Type,Date collected,Subsp.,Sex,Processed?,Extracted Sample Location,Sample Plate,Backup Sample in Lysis?,Leftover of Original Sample?,Sample Location,,,,,,,,,,,,,
2022/2023,15,Nordquist/Liard,Biopsy,16-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,16,Nordquist/Liard,Biopsy,15-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,17,Nordquist/Liard,Biopsy,15-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,18,Nordquist/Liard,Biopsy,15-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,19,Nordquist/Liard,Biopsy,15-Sep-21,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,3 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,20,Etthithun,Biopsy,25-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,20,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,21,Etthithun,Biopsy,25-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,22,Etthithun,Biopsy,25-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,23,Etthithun,Biopsy,25-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,24,Etthithun,art4,25-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,25,Etthithun,Biopsy,25-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,26,Etthithun,Biopsy,25-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,27,Etthithun,Biopsy,26-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,28,Etthithun,Biopsy,26-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,29,Etthithun,Biopsy,26-Feb-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,31,Nordquist,Biopsy,26-Sep-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,32,Nordquist,Biopsy,26-Sep-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,One tissue punch,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,33,Nordquist,Biopsy,26-Sep-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,34,Nordquist,Biopsy,26-Sep-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,35,Nordquist,Biopsy,26-Sep-22,Wood Bison,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,N,2 tissue punches,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2022/2023,40,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,40,WBNP,blood,,Wood Bison,,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,60,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,80,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,100,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,120,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,140,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,160,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,180,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,200,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,209,WBNP,blood,,Wood Bison,,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,217,WBNP,blood,,Wood Bison,,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,220,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,240,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,260,WBNP,blood,,Wood Bison,,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,280,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,300,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,320,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,340,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,360,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,380,WBNP,hair,,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,658,WBNP,blood,,Wood Bison,,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,661,WBNP,blood,,Wood Bison,,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,35462,Ronald Lake,serum,2014,Wood Bison,m,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,35463,Ronald Lake,serum,2014,Wood Bison,m,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,35464,Ronald Lake,serum,2014,Wood Bison,m,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,35465,Ronald Lake,serum,2014,Wood Bison,m,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,35466,Ronald Lake,serum,2014,Wood Bison,m,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,37488,Ronald Lake,serum,2019,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,37489,Ronald Lake,serum,2019,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,37490,Ronald Lake,serum,2019,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,37491,Ronald Lake,serum,2019,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,37495,Ronald Lake,serum,2019,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,37496,Ronald Lake,serum,2019,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,37497,Ronald Lake,serum,2019,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,45231,Wentzel,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45232,Wentzel,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45234,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45235,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45236,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45238,Wentzel,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45240,Wentzel,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45241,Wentzel,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45261,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45262,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45263,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45265,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45266,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45267,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45268,Wabasca,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45269,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45270,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45271,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45272,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45273,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45274,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45275,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45276,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45277,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45278,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,45279,Ronald Lake,DNA,,Wood Bison,,N,NA,NA,,,,,,,,,,,,,,,,
2022/2023,88209,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88210,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88211,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88212,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88213,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88214,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88215,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,, ,,,,,,,,,,,
2022/2023,88216,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88217,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88218,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88219,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88220,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88221,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88222,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88223,WBNP,hair,2021,Wood Bison,,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88224,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88225,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88226,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88227,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,88228,WBNP,hair,2021,Wood Bison,f,Y,2022/2023 Contract Box 2,2022/2023 Contract Plate 2,N,hair,Chest freezer,,,,,,,,,,,,,
2022/2023,6344-207494,Ronald Lake,serum,2018,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,6345-207459,Ronald Lake,serum,2018,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,6346-207496,Ronald Lake,serum,2018,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,6347-207497,Ronald Lake,serum,2018,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,6348-207498,Ronald Lake,serum,2018,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,6349-207499,Ronald Lake,serum,2018,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,6350-207500,Ronald Lake,serum,2018,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,6351-207501,Ronald Lake,serum,2018,Wood Bison,F,Y,2022/2023 Contract Box 4,2022/2023 Contract Plate 4,,,,,,,,,,,,,,,,
2022/2023,RL21-01,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-02,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-03,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-04,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,,,,,,,,,,,,,,,,
2022/2023,RL21-05,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-06,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-07,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-09,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-10,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-11,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-12,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-13,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-14,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-15,Ronald Lake,biopsy punch,13-Jan-21,,F,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-17,Ronald Lake,biopsy punch,22-Mar-21,,M,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-20,Ronald Lake,biopsy punch,22-Mar-21,,M,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,RL21-25,Ronald Lake,biopsy punch,22-Mar-21,,M,Y,2022/2023 Contract Box 3,2022/2023 Contract Plate 3,One tissue punch,,Chest Freezer,,,,,,,,,,,,,
2022/2023,10 273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,11-272,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,12-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,1-268,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,1-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,13-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,14-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,16-272,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,17-272,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,18 292,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,19-272,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,20-272,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,21-272,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,2-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,23-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,24-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,25-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,26-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,27-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,28-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
2022/2023,29-273,Sturgeon River,fecal swab,,Plains Bison,,Y,2022/2023 Contract Box 1,2022/2023 Contract Plate 1,,,,,,,,,,,,,,,,
