Herd,Subspecies,Case #,Lab,Metadata file,Date sampled,Genotypes received,File,ID NAME,ID,Sample,BMS1117,BMS1117_2,TGLA53,TGLA53_2,BMC4214,BMC4214_2
BNP,plains,EIB722,Davis,Bison biopsy samples_BNP,2020,2021,EIB77_773_Parks Canada_Results,Banff 6?,42,,89,91,136,136,175,181
EINPP,plains,EIB523,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,1,17,,89,91,136,140,187,187
EINPP,plains,EIB524,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,2,18,,89,91,136,136,175,185
EINPP,plains,EIB525,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,3,19,,89,91,136,138,175,179
EINPP,plains,EIB526,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,4,20,,91,91,136,138,187,187
EINPP,plains,EIB527,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,5,21,,89,91,136,136,175,187
EINPP,plains,EIB528,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,6,22,,89,91,136,136,175,175
EINPP,plains,EIB529,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,7,23,,91,91,136,136,185,185
EINPP,plains,EIB530,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,8,24,,91,91,134,136,175,175
EINPP,plains,EIB531,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,9,25,,89,89,136,136,187,187
EINPP,plains,EIB532,Davis,all samples,2017,2021,EIB77_773_Parks Canada_Results,10,26,,89,93,136,138,181,185
EINPP,plains,EIB517,Davis,,,2021,EIB77_773_Parks Canada_Results,414,113,,89,91,140,140,175,187
EINPP,plains,EIB514,Davis,,,2021,EIB77_773_Parks Canada_Results,417,110,,89,91,136,136,175,187
EINPP,plains,EIB508,Davis,,,2021,EIB77_773_Parks Canada_Results,418,106,,89,89,136,140,187,191
EINPP,plains,EIB515,Davis,,,2021,EIB77_773_Parks Canada_Results,419,111,,91,91,136,142,175,187
EINPP,plains,EIB502,Davis,,,2021,EIB77_773_Parks Canada_Results,422,102,,91,91,134,136,175,187
EINPP,plains,EIB493,Davis,,,2021,EIB77_773_Parks Canada_Results,423,96,,89,91,136,136,185,187
EINPP,plains,EIB496,Davis,,,2021,EIB77_773_Parks Canada_Results,427,98,,91,91,136,136,175,179
EINPP,plains,EIB509,Davis,,,2021,EIB77_773_Parks Canada_Results,430,107,,89,89,136,136,175,175
EINPP,plains,EIB490,Davis,,,2021,EIB77_773_Parks Canada_Results,434,93,,91,91,136,138,179,187
EINPP,plains,EIB494,Davis,,,2021,EIB77_773_Parks Canada_Results,435,97,,89,91,136,140,185,187
EINPP,plains,EIB482,Davis,,,2021,EIB77_773_Parks Canada_Results,437,88,,89,91,136,138,179,187
EINPP,plains,EIB503,Davis,,,2021,EIB77_773_Parks Canada_Results,438,103,,89,89,138,142,185,187
EINPP,plains,EIB497,Davis,,,2021,EIB77_773_Parks Canada_Results,439,99,,91,91,136,138,185,187
EINPP,plains,EIB484,Davis,,,2021,EIB77_773_Parks Canada_Results,440,89,,91,91,136,138,185,187
EINPP,plains,EIB491,Davis,,,2021,EIB77_773_Parks Canada_Results,441,94,,91,91,134,136,187,187
EINPP,plains,EIB485,Davis,,,2021,EIB77_773_Parks Canada_Results,442,90,,91,91,136,136,181,187
EINPP,plains,EIB519,Davis,,,2021,EIB77_773_Parks Canada_Results,444,114,,89,91,134,136,185,185
EINPP,plains,EIB513,Davis,,,2021,EIB77_773_Parks Canada_Results,445,109,,91,91,134,138,181,191
EINPP,plains,EIB479,Davis,,,2021,EIB77_773_Parks Canada_Results,446,86,,89,91,136,136,187,187
EINPP,plains,EIB522,Davis,,,2021,EIB77_773_Parks Canada_Results,447,116,,91,91,134,138,187,187
EINPP,plains,EIB516,Davis,,,2021,EIB77_773_Parks Canada_Results,448,112,,91,93,134,136,175,187
EINPP,plains,EIB507,Davis,,,2021,EIB77_773_Parks Canada_Results,449,105,,89,89,138,140,181,187
EINPP,plains,EIB510,Davis,,,2021,EIB77_773_Parks Canada_Results,450,108,,89,91,134,136,187,191
EINPP,plains,EIB504,Davis,,,2021,EIB77_773_Parks Canada_Results,451,104,,89,91,134,138,175,181
EINPP,plains,EIB498,Davis,,,2021,EIB77_773_Parks Canada_Results,452,100,,91,91,136,142,187,187
EINPP,plains,EIB501,Davis,,,2021,EIB77_773_Parks Canada_Results,453,101,,91,91,136,138,175,187
EINPP,plains,EIB492,Davis,,,2021,EIB77_773_Parks Canada_Results,454,95,,91,91,136,138,187,187
EINPP,plains,EIB486,Davis,,,2021,EIB77_773_Parks Canada_Results,455,91,,89,89,136,136,181,187
EINPP,plains,EIB480,Davis,,,2021,EIB77_773_Parks Canada_Results,456,87,,89,91,134,136,175,187
EINPP,plains,EIB489,Davis,,,2021,EIB77_773_Parks Canada_Results,461,92,,91,91,136,136,175,175
EINPP,plains,EIB478,Davis,,,2021,EIB77_773_Parks Canada_Results,465,85,,91,91,136,136,175,175
EINPP,plains,EIB521,Davis,,,2021,EIB77_773_Parks Canada_Results,478,115,,89,91,136,138,179,187
EINPP,plains,EIB213,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,85029,55,,89,91,136,138,181,187
EINPP,plains,EIB214,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,86063,56,,89,93,136,138,185,187
EINPP,plains,EIB215,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,2v68758,57,,91,91,136,138,179,185
EINPP,plains,EIB216,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,2v68760,58,,91,91,136,136,187,187
EINPP,plains,EIB217,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,2v68761,59,,89,89,140,140,187,187
EINPP,plains,EIB218,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,2v68767,60,,91,91,136,136,175,187
EINPP,plains,EIB219,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,2v68771,61,,91,91,136,136,179,185
EINPP,plains,EIB220,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,7V88809,62,,89,91,136,138,187,187
EINPP,plains,EIB221,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P2V68754,63,,91,91,136,136,179,185
EINPP,plains,EIB222,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P2V68759,64,,91,91,136,136,185,187
EINPP,plains,EIB223,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P2V68763,65,,89,91,134,140,175,175
EINPP,plains,EIB224,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P2V68765,66,,91,91,134,138,187,187
EINPP,plains,EIB225,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P2V68766,67,,91,93,136,136,179,187
EINPP,plains,EIB226,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P2V68770,68,,89,89,138,142,181,187
EINPP,plains,EIB227,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P2V68772,69,,89,91,138,142,175,185
EINPP,plains,EIB228,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P81037,70,,91,91,136,138,175,187
EINPP,plains,EIB229,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P84013,71,,91,91,136,136,185,187
EINPP,plains,EIB230,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P84015,72,,91,91,136,136,181,185
EINPP,plains,EIB231,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P84030,73,,89,91,134,138,187,187
EINPP,plains,EIB233,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P84063,74,,89,91,136,136,179,185
EINPP,plains,EIB234,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P85027,75,,89,91,136,138,179,187
EINPP,plains,EIB235,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P85028,76,,89,91,136,136,181,185
EINPP,plains,EIB236,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P85030,77,,89,89,136,138,175,175
EINPP,plains,EIB237,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P85032,78,,89,89,136,138,179,187
EINPP,plains,EIB238,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P85033,79,,89,91,134,136,175,185
EINPP,plains,EIB239,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P85034,80,,89,91,136,138,179,187
EINPP,plains,EIB240,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P86057,81,,89,91,136,136,175,185
EINPP,plains,EIB241,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P86059,82,,89,89,136,136,185,187
EINPP,plains,EIB242,Davis,all samples,1990,2021,EIB77_773_Parks Canada_Results,P86061,83,,89,91,134,136,179,181
EINPP,plains,EIB243,Davis,all samples,,2021,EIB77_773_Parks Canada_Results,P86064,84,,89,91,134,138,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300680249,982,,91,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850134,983,,89,91,142,142,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850137,992,,89,91,136,138,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850138,984,,89,91,136,138,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850144,993,,91,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850151,985,,89,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850167,994,,91,91,136,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850168,995,,89,89,136,138,175,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850170,996,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850174,997,,89,91,138,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850177,998,,91,91,136,136,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850194,999,,89,91,136,138,175,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850198,986,,91,91,134,136,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850202,1004,,91,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850205,987,,91,91,134,136,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850206,1000,,91,93,134,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850223,1001,,91,91,136,138,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850245,988,,89,89,134,136,185,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850262,989,,89,91,138,138,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850263,1002,,91,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850265,990,,89,91,136,138,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850267,991,,89,91,134,136,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,124000300850280,1003,,91,91,134,138,175,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004883487,855,,89,91,134,138,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004885960,1091,,91,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004886398,756,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004886421,915,,89,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004886580,1014,,89,91,136,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004886600,928,,89,89,136,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004889682,757,,89,91,134,136,179,181
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004889757,903,,89,91,138,138,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004889758,1109,,91,91,136,136,185,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004893189,1105,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004893204,758,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004893592,976,,89,91,136,136,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004893606,856,,89,89,134,138,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004896799,910,,89,91,136,136,187,191
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004899687,1038,,89,91,134,136,175,191
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004903362,1028,,89,91,134,136,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004903811,968,,91,91,138,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004903878,759,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004904188,1030,,89,89,136,136,179,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004904212,857,,89,91,136,138,179,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004907414,973,,89,89,134,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004907419,760,,91,91,136,140,185,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004907423,761,,91,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004907727,1049,,89,91,134,136,175,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004910835,762,,89,91,134,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004910941,1090,,89,89,136,136,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004913966,1089,,91,91,134,136,185,191
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004916725,763,,91,91,136,138,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004920918,764,,91,91,136,136,175,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004922781,765,,89,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004922782,1011,,91,91,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004923212,858,,89,89,136,140,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004923519,1044,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004923653,1102,,91,93,138,138,185,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004925466,859,,89,91,136,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004926342,1035,,91,93,136,138,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004926416,1048,,91,91,136,138,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004926619,972,,91,93,136,136,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004929672,860,,89,91,136,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004929749,906,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004931425,917,,89,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004931550,1010,,89,89,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004931937,1115,,89,91,136,138,175,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004932051,766,,89,89,136,138,179,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004932268,768,,91,91,136,136,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004932890,769,,89,91,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004932901,946,,91,91,136,136,179,191
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004933232,920,,91,91,136,136,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004933285,895,,91,91,136,138,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004935026,770,,91,91,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004935643,771,,89,91,136,138,175,181
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004936526,889,,89,91,136,142,175,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004938788,772,,89,91,138,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004939814,861,,91,91,132,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004940134,956,,89,93,136,138,181,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004942063,862,,91,91,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004942477,1021,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004943491,1027,,91,91,136,138,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004943809,1069,,91,91,136,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004945988,773,,91,91,136,136,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004946146,1046,,89,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004946184,774,,91,93,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004947416,775,,91,91,138,138,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004947418,884,,89,91,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004947460,776,,91,91,136,136,185,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004947503,777,,89,91,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004948151,778,,91,91,136,138,185,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004949000,1083,,89,91,136,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004949122,779,,89,91,136,138,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004949569,954,,89,89,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004949652,780,,89,91,136,136,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004949725,863,,89,91,136,138,179,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004949761,1082,,91,91,136,136,185,191
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004950011,1052,,89,91,136,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004950503,781,,91,91,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004950916,1068,,89,91,134,136,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004951073,893,,89,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004952907,782,,89,89,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004954615,909,,89,89,136,138,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004954645,783,,89,91,136,138,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004955734,784,,91,91,136,136,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004955834,1040,,89,89,136,138,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004958598,1015,,91,91,134,138,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004959646,785,,89,91,136,136,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004961133,1062,,89,91,134,136,185,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004961157,786,,89,91,136,138,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004961285,1018,,89,93,136,138,175,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004961315,787,,89,89,136,136,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004961436,788,,89,91,136,136,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004961683,1033,,89,91,136,136,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004962209,1036,,91,91,136,136,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004962518,1078,,91,93,136,136,185,185
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004962917,789,,89,91,134,138,175,179
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004962997,864,,91,91,136,136,175,175
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004963343,790,,91,91,136,136,185,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004963440,791,,91,91,138,138,179,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004963516,1113,,89,91,136,138,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004963527,792,,89,91,136,136,187,187
GNP,plains,,Davis,,,2022,MASTER_GNP bison_genetic data,989002004963553,865,,89,91,136,136,185,187
