Kit #,Sample name,Description,Contact,Date received at LeRDC/Sherbrooke,Condition on Arrival,Sample temperature,Bison Sex,Age,Bison Herd,Area,Bison subspecies,Date of Collection,Location (GPS?),Notes,date of gDNA extraction,DNA/Sample sent to Trent,Metagenomic,5 mL tube,2 mL tube,Ziploc,Comments,,1
136,BNP-136-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Warm,unknown,Young adult or adult,Banff National Park Main Herd,Banff National Park,Plain,10/17/2022,51.66226-115.83659,,11/8/2024,,,,,,,,
137,BNP-137-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Warm,unknown,Young adult or adult,Banff National Park Main Herd,Banff National Park,Plain,10/17/2022,51.66226-115.83659,,11/8/2024,,,,,,,,
138,BNP-138-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Frozen,unknown,Young adult or adult,Banff National Park Main Herd,Banff National Park,Plain,1/8/2023,utm 11u 592397/5715756,,11/8/2024,,,,,,,,
139,BNP-139-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Frozen,unknown,Young adult or adult,Banff National Park Main Herd,Banff National Park,Plain,1/9/2023,utm 11u 593894/5717366,,11/8/2024,,,,,,,,
140,BNP-140-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Warm,unknown,Young adult or adult,Banff National Park Main Herd,Banff National Park,Plain,10/17/2022,51.66226-115.8366,,11/8/2024,,,,,,,,
141,BNP-141-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Cold,unknown,NA,Banff (Panther Valley),Banff National Park,Plain,2/17/2023,51.582551-115.677286,,11/8/2024,,,,,,,,
142,BNP-142-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Cold,unknown,Adult,Banff,Banff National Park,Plain,3/7/2023,51.681139-115.731929,,11/8/2024,,,,,,,,
143,BNP-143-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Frozen,unknown,Young adult or adult,Banff National Park Main Herd,Banff National Park,Plain,4/6/2023,"51.59742,-115.65441",,11/8/2024,,,,,,,,
144,BNP-144-Fe,RNA later/Fecal,Karsten Heuer,5/24/2023,Frozen,Warm,Female,NA,Banff National Park Main Herd,Banff National Park,Plain,5/12/2023,51.693479-115.710914,,11/8/2024,,,,,,,,
145,BNP-145-Fe,RNA later/Fecal,Dillon Watt,,Frozen,Warm,unknown,unknown,Banff National Park,Red Deer Valley,Plain,8/2/2023,11U 580526  5724429,,11/7/2024,,,,,,,,
146,BNP-146-Fe,RNA later/Fecal,Dillon Watt,,,Warm,unknown,unknown,Banff National Park,Red Deer Valley,Plain,7/22/2023,11U 578327  5724916,,11/7/2024,,,,,,,,
148,BNP-148-Fe,RNA later/Fecal,Dillon Watt,,,Warm,unknown,unknown,Banff National Park,Middle Panther,Plain,11/6/2023,11U 593296  5716094,,11/7/2024,,,,,,,,
149,BNP-149-Fe,RNA later/Fecal,Dillon Watt,,,Warm,unknown,unknown,Banff National Park,Middle Panther,Plain,9/25/2023,11U 593357  5715896,,11/7/2024,,,,,,,,
150,BNP-150-Fe,RNA later/Fecal,Dillon Watt,,,Warm,unknown,unknown,Banff National Park,Red Deer Valley,Plain,8/3/2023,11U 586600  5725990,,11/7/2024,,,,,,,,
1000,EINP-1000-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~3 yrs,Elk Island National Park,Elk Island National Park,Wood,7/13/2023,"53.5661, -112.9230",WB0036,3/12/2024,,,,,,,,
1001,EINP-1001-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~3 yrs,Elk Island National Park,Elk Island National Park,Wood,7/13/2023,"53.5660, -112.9143",WB0037,3/12/2024,,,,,,,,
1002,EINP-1002-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,M,~7 yrs,Elk Island National Park,Elk Island National Park,Wood,7/13/2023,"53.5603, -112.8546",WB0019,3/12/2024,,,,,,,,
1003,EINP-1003-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~6 yrs,Elk Island National Park,Elk Island National Park,Wood,7/14/2023,"53.5600, -112.8533",WB0038,3/14/2024,,,,,,,,
1004,EINP-1004-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~8 yrs,Elk Island National Park,Elk Island National Park,Wood,7/14/2023,"53.5594, -112.8529",WB0039,3/14/2024,,,,,,,,
1005,EINP-1005-fe,fecal,Reshma Rizvi,9/12/2023,Frozen,Fresh from rectum,F,~10 yrs,Elk Island National Park,Elk Island National Park,Wood,7/14/2023,"53.5603, -112.8499",WB0040,3/14/2024,,,,,,,,
1182,EINP-1182-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.561130,-112.850689,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1183,EINP-1183-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59458,-112.84226,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1184,EINP-1184,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,unknown,unknown,Elk Island National Park,Elk Island National Park,Plain,1/3/2024,"53.63350, -112.85699",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1185,EINP-1185-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.56155,-112.85365,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1186,EINP-1186,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,unknown,unknown,Elk Island National Park,Elk Island National Park,Wood,3/31/2024,"53.56013,-112.84988",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1187,EINP-1187,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,Female,Adult,Elk Island National Park,Elk Island National Park,Plain,3/31/2024,"53.58113,-112.82831",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1188,EINP-1188,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,Male,Adult,Elk Island National Park,Elk Island National Park,Plain,3/31/2024,"53.63366, -112.85774",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1189,EINP-1189-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.56112,-112.84999,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1190,EINP-1190-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Male,Adult,Wood Bison - EINP,Elk Island National Park,Wood,5/29/2024,53.52300,-112.93799,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1192,EINP-1192-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.59573,-112.82803,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1193,EINP-1193-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.57935,-112.80679,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1195,EINP-1195,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,unknown,unknown,Elk Island National Park,Elk Island National Park,Wood,1/5/2024,"53.56875, -112.82357",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1198,EINP-1198,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,Female,2-4 years,Elk Island National Park,Elk Island National Park,Plain,3/30/2024,"53.59575, -112.83808",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1199,EINP-1199-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.56125,-112.85121,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1200,EINP-1200,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,Male,2-4 years,Elk Island National Park,Elk Island National Park,Plain,2/6/2024,"53.583327, -112.831060",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1201,EINP-1201,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,Female,Adult,Elk Island National Park,Elk Island National Park,Plain,2/6/2024,"53.583298, -112.831013",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1202,EINP-1202-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.57599,-112.81409,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1204,EINP-1204-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Male,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,8/26/2024,53.57956,-112.81137,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1205,EINP-1205-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Female,Adult,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.58132,-112.82479,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1206,EINP-1206,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,Female,Adult,Elk Island National Park,Elk Island National Park,Wood,3/31/2024,"53.56007, -112.84984",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1207,EINP-1207,Fecal,David Bruinsma,6/20/2024,Frozen,Cold,unknown,unknown,Elk Island National Park,Elk Island National Park,Wood,1/4/2024,"53.56059, -112.85313",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1209,EINP-1209-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Female,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,8/26/2024,53.57952,-112.81121,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1210,EINP-1210,Fecal,David Bruinsma,6/20/2024,Frozen,Warm,unknown,Adult,Elk Island National Park,Elk Island National Park,Plain,2/25/2024,"53.597723, -112.839207",,8/5/2024,,,,,,Subsampled (2024-08-01),,
1235,EINP-1235-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Wood Bison - EINP,Elk Island National Park,Wood,8/29/2024,53.55973,-112.85316,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1236,EINP-1236-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59279,-112.83882,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1237,EINP-1237-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59264,-112.83948,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1238,EINP-1238-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59445,-112.83385,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1239,EINP-1239-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Wood Bison - EINP,Elk Island National Park,Wood,7/31/2024,53.56533,-112.90257,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1240,EINP-1240-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59462,-112.84489,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1241,EINP-1241-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.58523,-112.82951,10/4/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1242,EINP-1242-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Male,Adult,Wood Bison - EINP,Elk Island National Park,Wood,8/29/2024,53.55985,-112.85352,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1243,EINP-1243-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.57861,-112.82395,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1244,EINP-1244-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.55957,-112.85445,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1245,EINP-1245-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Male,Adult,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.57589,-112.81407,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1246,EINP-1246-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.56107,-112.85400,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1247,EINP-1247-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Wood Bison - EINP,Elk Island National Park,Wood,7/31/2024,53.56550,-112.90395,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1248,EINP-1248-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Wood Bison - EINP,Elk Island National Park,Wood,7/31/2024,53.56699,-112.91537,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1249,EINP-1249-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.58101,-112.82330,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1250,EINP-1250-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.55926,-112.85316,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1251,EINP-1251-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.56100,-112.85300,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1252,EINP-1252-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59442,-112.84122,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1253,EINP-1253-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.57978,-112.81107,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1254,EINP-1254-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.57625,-112.81927,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1255,EINP-1255-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.58907,-112.82511,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1256,EINP-1256-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.58090,-112.81544,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1257,EINP-1257-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59491,-112.84274,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-13),,
1258,EINP-1258-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59341,-112.83780,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1259,EINP-1259-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Wood Bison - EINP,Elk Island National Park,Wood,6/26/2024,53.55950,-112.85461,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1260,EINP-1260-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59484,-112.84148,10/3/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1261,EINP-1261-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Unknown,Plains Bison - EINP,Elk Island National Park,Plain,7/31/2024,53.59369,-112.83658,10/2/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1262,EINP-1262-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Male,Adult,Wood Bison - EINP,Elk Island National Park,Wood,7/31/2024,53.56478,-112.89687,10/2/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1263,EINP-1263-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Young Adult (2-4 years),Plains Bison - EINP,Elk Island National Park,Plain,6/26/2024,53.59256,-112.82261,10/2/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
1264,EINP-1264-fe,Fecal,David Bruinsma,9/10/2024,Frozen,Warm,Unknown,Adult,Wood Bison - EINP,Elk Island National Park,Wood,7/31/2024,53.56733,-112.91819,10/2/2024,,,,,,Thawed upon arrival at Saskatoon - Subsampled (2024-09-20),,
377 (304),EINP-377-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Male,Calf,Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,1/24/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)","Weight 129,5 kg RFID 124000300816304",3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
378 (305),EINP-378-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Male,Calf,Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,1/24/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)",Weight 108 kg RFID 124000300816305,3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
379 (307),EINP-379-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Female,Calf,Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,1/24/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)","Weight 130,5 kg RFID 124000300816307",3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
380 (314),EINP-380-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Male,subprime (3-5),Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,1/24/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)","Weight 336,5 kg RFID 124000300816314",3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
381 (322),EINP-381-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Female,adult (8),Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,1/24/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)",Weight 453 kg RFID 124000300816322 Pregnant,3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
382 (324),EINP-382-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Female,"adult (6,5)",Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,1/24/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)","Weight 424,5 kg RFID 124000300816324 Pregnant",3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
383 (326),EINP-383-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Female,adult (old 15-17),Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,1/24/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)","Weight 501,5 kg RFID 124000300816326 Pregnant",3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
384 (148),EINP-384-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Male,Yearling,Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,2/13/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)",Weight 235 kg RFID 124000301014148,3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
385 (181),EINP-385-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Male,Yearling,Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,2/13/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)",Weight 272 kg RFID 124000301014181,3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
386 (251),EINP-386-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Male,adult (old 16),Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,2/16/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)",Weight 640 kg RFID 124000301014251,3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
387 (252),EINP-387-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Male,"adult (5,5)",Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,2/16/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)","Weight 647,5 kg RFID 124000301014252",3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
388 (253),EINP-388-Fe,Fecal ,David Bruinsma,5/24/2023,Frozen,,Male,"adult (5,5)",Elk Island National Park Plains Bison Herd,Elk Island National Park,Plain,2/16/2023,"EINP’s plains bison handling facility (53.58131, -112.83197)",Weight 613 kg RFID 124000301014253,3/26/2024,,,,,,"The bison were held in pens at the facility for 1-2 months before the fecal samples were collected, during which time they were fed hay (which I think was a mix of timothy, orchard grass, and alfalfa)",,
