ID,Population,Region,bm2830,bm2830,bm143,bm143,rt9,rt9,rt24,rt24,rt27,rt27,rt29,rt29,bmc1222,bmc1222,bm1225,bm1225,eth121,eth121,bovfsh,bovfsh
NL 82,WBNPNL,Needle Lake,147,159,99,99,113,117,205,229,146,150,206,222,275,277,252,252,186,198,311,313
LB 100,WBNPLB,Little Buffalo,147,159,101,101,113,113,205,205,150,150,222,222,275,275,252,268,186,200,309,309
Bison-Blood-1,ELKISL,,153,153,101,105,113,113,205,229,146,150,206,206,277,277,252,252,200,200,309,309
Bison-Blood-2,ELKISL,,151,153,101,101,113,117,205,231,150,150,222,222,275,277,252,252,186,200,303,309
Bison-Blood-3,ELKISL,,153,155,105,105,113,113,205,205,150,150,220,220,275,277,252,252,186,200,309,321
Bison-Blood-4,ELKISL,,147,167,105,105,113,117,205,205,146,150,222,222,277,277,248,268,200,200,309,313
Bison-Blood-5,ELKISL,,153,167,105,105,113,113,205,205,150,150,220,220,277,277,252,252,186,200,303,309
Bison-Blood-6,ELKISL,,,,101,101,117,117,205,229,150,150,206,212,275,275,252,252,198,200,309,309
Bison-Blood-7,ELKISL,,147,147,99,101,113,113,205,229,150,150,206,206,277,277,252,270,200,200,309,317
Bison-Blood-8,ELKISL,,147,153,105,105,113,115,205,231,150,150,220,222,275,277,252,252,198,198,317,321
Bison-Blood-10,ELKISL,,153,167,101,101,113,117,205,205,146,150,212,212,275,277,252,270,186,200,309,321
Bison-Blood-11,ELKISL,,147,167,105,105,113,113,205,205,146,146,206,206,275,275,252,252,200,200,309,321
Bison-Blood-13,ELKISL,,147,153,101,101,113,117,205,229,150,150,212,222,275,277,252,252,186,200,309,309
Bison-Blood-14,ELKISL,,153,153,105,105,113,113,205,205,150,150,220,222,273,277,240,252,186,200,309,311
Bison-Blood-15,ELKISL,,153,153,101,105,113,113,205,205,146,150,,,275,275,240,252,200,200,299,309
Bison-Blood-16,ELKISL,,153,167,101,105,113,117,205,229,150,150,206,220,275,277,252,252,186,200,299,313
Bison-Blood-17,ELKISL,,147,153,105,109,113,113,205,205,146,150,212,212,277,277,252,268,186,200,309,309
Bison-Blood-19,ELKISL,,155,167,105,105,113,113,205,205,146,150,206,222,275,275,252,252,200,200,309,321
Bison-Blood-20,ELKISL,,153,153,101,105,113,113,205,229,150,150,206,222,273,275,252,252,198,200,309,309
Bison-Blood-21,ELKISL,,153,153,101,105,113,113,205,205,146,150,206,206,277,277,252,268,186,186,309,309
Bison-Blood-22,ELKISL,,147,153,105,105,113,113,205,205,150,150,220,220,273,277,252,252,200,200,303,311
Bison-Blood-23,ELKISL,,153,153,101,105,113,113,205,205,150,150,220,222,277,277,248,252,200,200,309,311
Bison-Blood-24,ELKISL,,153,153,101,101,113,113,205,205,150,150,212,222,275,277,252,252,186,200,309,321
Bison-Blood-27,ELKISL,,147,165,101,101,113,113,205,229,150,150,212,212,273,275,240,268,186,186,299,309
Bison-Blood-30,ELKISL,,147,153,101,101,113,113,205,205,150,150,206,206,275,277,252,252,200,200,309,309
Bison-Blood-39,ELKISL,,153,153,105,105,113,113,205,205,150,150,206,206,273,275,252,252,186,198,303,321
Bison-Blood-40,ELKISL,,147,153,101,105,113,113,205,205,146,150,222,222,275,277,252,268,186,200,303,309
Bison-Blood-43,ELKISL,,147,153,101,105,113,117,205,205,146,150,,,275,277,252,252,186,186,299,303
Bison-Blood-47,ELKISL,,147,153,105,105,113,113,205,229,146,150,206,206,275,277,252,252,186,186,309,309
Bison-Blood-102,ELKISL,,153,153,105,105,113,113,205,205,150,150,222,222,275,277,252,252,186,200,299,321
Bison-Blood-105,ELKISL,,153,153,105,105,113,113,205,205,150,150,222,222,275,277,240,252,186,200,309,311
Bison-Blood-108,ELKISL,,147,165,105,105,113,113,205,205,150,150,220,222,275,277,252,252,186,186,309,321
